,True_Price_Adoption_Rate,Average_Satisfaction,Average_Choice_Changes,Average_Decision_Mode_Changes,Average Degree,Variance of Degree,Average Clustering,Average Path Length,Avg_F_Satisfaction,Avg_S_Satisfaction,Avg_P_Satisfaction,Avg_F_Uncertainty,Avg_S_Uncertainty,Avg_P_Uncertainty,Adoption Rates
0,0.0,0.5231187033280779,0.9,1.0,5.8,7.159999999999999,0.775,,0.6614581406615081,0.7005388392041898,0.2197451917260577,0.6770544328988721,0.6,0.5525670762360246,0.0
1,0.0,0.5970839173567917,1.1,1.6,5.8,7.159999999999999,0.775,,0.7016782935689931,0.7005388392041898,0.3687775758584956,0.710706886281436,0.6,0.40004726114797184,0.0
2,0.0,0.5847714747971435,1.2,1.8,5.8,7.159999999999999,0.775,,0.6761650823496832,0.7005388392041898,0.35816325444591246,0.7241743428379903,0.6,0.39113546734712756,0.0
3,0.0,0.5653196230563523,1.3,1.9,5.8,7.159999999999999,0.775,,0.6588753564723328,0.7005388392041898,0.30859597578342635,0.7311323923569883,0.6,0.3851390233207651,0.0
4,10.0,0.5388031187618567,1.3,1.9,5.8,7.159999999999999,0.775,,0.6588753564723328,0.629828161085535,0.30859597578342635,0.7311323923569883,0.6,0.3851390233207651,10.0
5,10.0,0.5352656168411382,1.3,2.0,5.8,7.159999999999999,0.775,,0.6588753564723328,0.623932324551004,0.30859597578342635,0.7311323923569883,0.5166666666666667,0.3851390233207651,10.0
6,10.0,0.5352656168411382,1.3,2.0,5.8,7.159999999999999,0.775,,0.6588753564723328,0.623932324551004,0.30859597578342635,0.7311323923569883,0.5166666666666667,0.3851390233207651,10.0
7,10.0,0.5352656168411382,1.3,2.0,5.8,7.159999999999999,0.775,,0.6588753564723328,0.623932324551004,0.30859597578342635,0.7311323923569883,0.5166666666666667,0.3851390233207651,10.0
8,10.0,0.5352656168411382,1.3,2.0,5.8,7.159999999999999,0.775,,0.6588753564723328,0.623932324551004,0.30859597578342635,0.7311323923569883,0.5166666666666667,0.3851390233207651,10.0
9,10.0,0.5352656168411382,1.3,2.0,5.8,7.159999999999999,0.775,,0.6588753564723328,0.623932324551004,0.30859597578342635,0.7311323923569883,0.5166666666666667,0.3851390233207651,10.0
