,True_Price_Adoption_Rate,Average_Satisfaction,Average_Choice_Changes,Average_Decision_Mode_Changes,Average Degree,Variance of Degree,Average Clustering,Average Path Length,Avg_F_Satisfaction,Avg_S_Satisfaction,Avg_P_Satisfaction,Avg_F_Uncertainty,Avg_S_Uncertainty,Avg_P_Uncertainty,Adoption Rates
0,0.0,0.5233694005204678,0.8,1.0,5.8,7.159999999999999,0.775,,0.6650954232785531,0.7005388392041898,0.21779178263717106,0.674619095664079,0.6,0.489825186666509,0.0
1,0.0,0.637624328285926,1.2,1.5,5.8,7.159999999999999,0.775,,0.7261788791167719,0.7005388392041898,0.4975306708168879,0.652636838662914,0.6,0.5062523443433765,0.0
2,0.0,0.7311994760421576,1.2,1.7,5.8,7.159999999999999,0.775,,0.7725153585138973,0.7005388392041898,0.719252854896328,0.6129428952431742,0.6,0.4805848943103683,0.0
3,0.0,0.7311994760421576,1.2,1.7,5.8,7.159999999999999,0.775,,0.7725153585138973,0.7005388392041898,0.719252854896328,0.6129428952431742,0.6,0.4805848943103683,0.0
4,0.0,0.7311994760421576,1.2,1.7,5.8,7.159999999999999,0.775,,0.7725153585138973,0.7005388392041898,0.719252854896328,0.6129428952431742,0.6,0.4805848943103683,0.0
5,0.0,0.7311994760421576,1.2,1.7,5.8,7.159999999999999,0.775,,0.7725153585138973,0.7005388392041898,0.719252854896328,0.6129428952431742,0.6,0.4805848943103683,0.0
6,0.0,0.7311994760421576,1.2,1.7,5.8,7.159999999999999,0.775,,0.7725153585138973,0.7005388392041898,0.719252854896328,0.6129428952431742,0.6,0.4805848943103683,0.0
7,0.0,0.7311994760421576,1.2,1.7,5.8,7.159999999999999,0.775,,0.7725153585138973,0.7005388392041898,0.719252854896328,0.6129428952431742,0.6,0.4805848943103683,0.0
8,0.0,0.7311994760421576,1.2,1.7,5.8,7.159999999999999,0.775,,0.7725153585138973,0.7005388392041898,0.719252854896328,0.6129428952431742,0.6,0.4805848943103683,0.0
9,0.0,0.7311994760421576,1.2,1.7,5.8,7.159999999999999,0.775,,0.7725153585138973,0.7005388392041898,0.719252854896328,0.6129428952431742,0.6,0.4805848943103683,0.0
